Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
42.450583,10.212333,0.0,0.083913,High,Red,0.0349284999588377,-0.0320000015199184,0.0140000004321336,False
42.696733,10.32925,0.0,0.020988,High,Red,0.0178044946931256,0.0140000004321336,0.0110000008717179,False
42.78475,10.484983,0.0,0.329563,High,Red,0.006000000052154,0.006000000052154,0.0,False
42.881633,10.4759,0.0,0.0,Low,Green,0.0355105619648107,0.0350000001490116,-0.006000000052154,False
42.888333,10.211033,0.0,0.360438,High,Red,0.0411946609936767,0.0410000011324882,-0.0040000001899898,False
42.9736,9.992533,0.0,0.192163,High,Red,0.0392045927677604,0.0240000002086162,-0.0310000013560056,False
43.052133,9.630333,0.0,0.10815,High,Red,0.0404474996399469,-0.0400000028312206,-0.006000000052154,False
-20.12045,148.876033,0.0,0.118492,High,Red,0.7567701699441772,0.7500000596046448,0.101000003516674,False
35.001667,141.0,0.0,0.046081,High,Red,1.0129546346676286,0.4910000264644623,0.8860000371932983,False
34.495,140.968333,0.0,0.018345,High,Red,0.5663647378847619,0.2400000095367431,0.5130000114440918,False
34.0,140.995,0.0,0.013348,High,Red,0.3695957474490495,0.1760000139474868,0.3250000178813934,False
32.515,141.008333,0.0,0.010865,High,Red,0.0929139462663296,0.0130000002682209,-0.0920000076293945,False
32.001667,141.001667,0.0,0.008353,Medium,Blue,0.165366266762077,0.0110000008717179,-0.1650000065565109,False
31.998333,140.003333,0.0,0.033805,High,Red,0.0233452362534703,-0.0170000009238719,-0.0160000007599592,False
32.5,140.003333,0.0,0.013446,High,Red,0.1319128557271436,0.1240000054240226,-0.0450000017881393,False
32.493333,139.003333,0.0,0.012138,High,Red,0.1045801150577746,-0.0110000008717179,0.1040000021457672,False
32.0,139.0,0.0,0.008611,Medium,Blue,0.0605309862151772,-0.0080000003799796,0.0600000023841857,False
31.995,138.001667,0.0,0.250694,High,Red,0.6056971536726541,0.1370000094175338,0.5900000333786011,False
32.5,137.998333,0.0,0.028565,High,Red,0.7433283654953233,0.2610000073909759,0.6960000395774841,False
32.505,136.996667,0.0,0.05111,High,Red,0.5247675895968774,0.2950000166893005,0.434000015258789,False
32.998333,136.005,0.0,0.259535,High,Red,0.0707672251231756,0.0480000004172325,-0.0520000010728836,False
33.328333,136.008333,0.0,0.029305,High,Red,0.1016070896028345,-0.0820000022649765,-0.0600000023841857,False
32.993333,135.511667,0.0,0.088381,High,Red,0.0755380728958907,0.0090000005438923,-0.0750000029802322,False
33.006667,134.506667,0.0,0.0395,High,Red,0.5526753107156478,0.5509999990463257,-0.0430000014603138,False
33.011667,135.015,0.0,0.037903,High,Red,0.3459046218293375,0.1870000064373016,-0.2910000085830688,False
32.5,135.008333,0.0,0.060735,High,Red,0.5163642386338055,0.2460000067949295,-0.4540000259876251,False
32.498333,134.501667,0.0,0.095333,High,Red,0.6632104086290934,0.4380000233650207,-0.4980000257492065,False
32.503333,134.003333,0.0,0.100113,High,Red,0.7646967136884165,0.7560000419616699,0.1150000020861625,False
31.996667,133.501667,0.0,1.159636,High,Red,1.005487509063274,0.9070000648498536,0.434000015258789,False
